"id","source","company","name","phone","email","website","address","city","category","score","tier","followers","rating","review_count","status","outreach_dm","outreach_email_subject"
"f2b03d9058f0","google_maps","Agencia de Marketing Digital en Cali Coldi","","+3154375409","","https://coldisidium.com/","Cl. 12 #29b-78","","agencia","58","B","0","5.0","58","nuevo","Hola Agencia de Marketing Digital en Cali Coldi 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compro","Más clientes para Agencia de Marketing Digital en Cali Coldi — idea rápida"
"87751fbb1ed5","google_maps","Accesorios y Tecnologia Store / Local 106","","+3007362803","","https://www.instagram.com/accesoriosytecnologiastore?igsh=MTNmNDN1a25qb3ZneQ%3D%3D&amp;utm_source=qr","Cra. 43 #50-12 LOCAL 106","","tecnología","50","C","0","4.9","0","nuevo","Hola Accesorios y Tecnologia Store / Local 106 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin comprom","Más clientes para Accesorios y Tecnologia Store / Local 106 — idea rápida"
"9f41a4067f31","google_maps","Aroma real perfumería","","+3017107182","","https://wa.link/ai8cdt","Cra. 102b","","otro","50","C","0","5.0","0","nuevo","Hola Aroma real perfumería 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Aroma real perfumería — idea rápida"
"102d867cec23","google_maps","Aromas y Fragancias","","+3128393572","","https://www.aromasyfragancias.co/","Cra. 74A #97-86","","otro","50","C","0","5.0","0","nuevo","Hola Aromas y Fragancias 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Aromas y Fragancias — idea rápida"
"950f1806b929","google_maps","Audiocentro Electronics","","+3174314519","","https://www.facebook.com/alexanderaudiocentro.esquina","Cl 20 #8-97","","tecnología","50","C","0","4.6","0","nuevo","Hola Audiocentro Electronics 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Audiocentro Electronics — idea rápida"
"3901d1a368a1","google_maps","Audiocentro Medellín","","+3174035563","","https://www.audiocentro.com.co/","Cra. 43 #31-76","","otro","50","C","0","4.9","0","nuevo","Hola Audiocentro Medellín 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Audiocentro Medellín — idea rápida"
"cf0cfe11910a","google_maps","Audiocentro Mega","","+3178941899","","https://www.audiocentro.com.co/","Cra. 9 #20-41","","otro","50","C","0","4.9","0","nuevo","Hola Audiocentro Mega 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Audiocentro Mega — idea rápida"
"c13cefe0a4d9","google_maps","Audiocentro Studio","","+3175178841","","http://www.audiocentro.com.co/","Cra. 72 #71-73","","otro","50","C","0","4.7","0","nuevo","Hola Audiocentro Studio 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Audiocentro Studio — idea rápida"
"e9a378c9fc54","google_maps","Audiotienda.co I Centro auditivo multimarca","","+3227125497","","https://www.audiotienda.co/","Centro Comercial Bulevar Niza, Ak. 58 #127-59 Local S-119","","otro","50","C","0","4.8","0","nuevo","Hola Audiotienda.co I Centro auditivo multimarca 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compr","Más clientes para Audiotienda.co I Centro auditivo multimarca — idea rápida"
"3ea62b76cce0","google_maps","Audiófilo Store","","+3176689929","","http://www.audiofilostore.com/","Cl. 127 Bis #19 - 25 Local 1","","otro","50","C","0","4.8","0","nuevo","Hola Audiófilo Store 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Audiófilo Store — idea rápida"
"a15afe2f8208","google_maps","Azaahar","","+3213157607","","https://azaahar.com/","Cl 136 #45A-70","","otro","50","C","0","5.0","0","nuevo","Hola Azaahar 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Azaahar — idea rápida"
"8f7bbab44460","google_maps","Benoit Audífonos Las Americas | Clínica de Audiología","","+3147955149","","https://www.benoitaudifonos.co/","Torre Medica Las Américas Auna, Dg. 75B #2A-80/140 Consultorio 304","","salud","50","C","0","5.0","0","nuevo","Hola Benoit Audífonos Las Americas | Clínica de Audiología 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis?","Más clientes para Benoit Audífonos Las Americas | Clínica de Audiología — idea rápida"
"b97ae4e25f8a","google_maps","DE TODO RELOJ Taller de Relojeria, Gafas y Copias de LLaves, Cerrajeria","","+3172816083","","http://silohtaller.blogspot.com.co/","Cra. 43 #75-70","","joyería","50","C","0","4.9","0","nuevo","Hola DE TODO RELOJ Taller de Relojeria, Gafas y Copias de LLaves, Cerrajeria 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te mu","Más clientes para DE TODO RELOJ Taller de Relojeria, Gafas y Copias de LLaves, Cerrajeria — idea rápida"
"bec1461039ed","google_maps","Disfragancias Oviedo","","+3046060403","","https://disfragancias.com/","Cra. 43A #6s-15 Local 2300","","otro","50","C","0","4.8","0","nuevo","Hola Disfragancias Oviedo 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Disfragancias Oviedo — idea rápida"
"716aeefc7ced","google_maps","EDÉN Perfume Atelier","","+3027438297","","https://www.smellslikeeden.com/","Cra. 36 #10-32","","otro","50","C","0","5.0","0","nuevo","Hola EDÉN Perfume Atelier 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para EDÉN Perfume Atelier — idea rápida"
"30fffa4b57f1","google_maps","Gaia Calm Velas Artesanales","","+3229430073","","https://www.instagram.com/gaia.calm?utm_source=ig_web_button_share_sheet&amp;igsh=ZDNlZDc0MzIxNw==","Cl. 66 #59-31","","otro","50","C","0","5.0","0","nuevo","Hola Gaia Calm Velas Artesanales 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Gaia Calm Velas Artesanales — idea rápida"
"14e09019a20d","google_maps","Gran Aroma - Perfumes de Nicho","","+3107108035","","https://granaroma.co/","Amsterdam Plaza, Cra. 25 #4 - 165 Sótano 2, Local 9835","","otro","50","C","0","4.9","0","nuevo","Hola Gran Aroma - Perfumes de Nicho 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? Sin compromiso.","Más clientes para Gran Aroma - Perfumes de Nicho — idea rápida"
"d5ff654216f7","google_maps","Joyeria Bauer Centro 93 - Distribuidor Oficial Rolex","","+6012574442","","http://bauer.com.co/","Centro Comercial Centro 93, Ak 15 #93-60 Local 215","","otro","50","C","0","4.6","0","nuevo","Hola Joyeria Bauer Centro 93 - Distribuidor Oficial Rolex 👋 Diseño landing pages que convierten visitas en clientes reales. ¿Te muestro demo gratis? ","Más clientes para Joyeria Bauer Centro 93 - Distribuidor Oficial Rolex — idea rápida"
